@RELATIO-1 aclImdb-first10

@ATTRIBUTE the -1UMERIC
@ATTRIBUTE and -1UMERIC
@ATTRIBUTE a -1UMERIC
@ATTRIBUTE of -1UMERIC
@ATTRIBUTE to -1UMERIC
@ATTRIBUTE is -1UMERIC
@ATTRIBUTE it -1UMERIC
@ATTRIBUTE in -1UMERIC
@ATTRIBUTE i -1UMERIC
@ATTRIBUTE this -1UMERIC
@ATTRIBUTE pos {1,-1}

@DATA
9,1,4,4,6,4,2,2,4,0,1
7,4,2,2,0,4,1,0,2,2,1
4,4,4,7,2,1,1,1,0,1,1
10,2,2,0,3,2,4,2,0,1,1
13,9,6,4,2,5,10,6,0,2,1
6,11,4,5,3,1,2,6,7,4,1
6,4,1,1,0,3,1,2,0,1,1
3,3,6,1,3,2,0,2,5,3,1
8,3,2,2,2,1,2,1,1,2,1
9,7,8,3,4,5,3,0,0,0,1
0,1,6,2,1,4,0,0,1,2,1
1,3,1,1,0,0,0,0,0,0,1
1,3,1,1,0,0,0,0,0,0,1
5,5,10,4,5,1,2,4,2,2,1
3,6,6,0,1,0,2,1,3,1,1
11,4,6,4,7,0,4,11,3,1,1
6,4,6,4,6,1,6,0,3,1,1
56,25,29,25,28,16,6,24,1,5,1
0,3,6,0,8,4,1,5,0,0,1
5,8,4,5,9,5,4,5,9,5,1
14,7,3,4,5,4,4,2,2,0,1
9,6,10,8,3,3,2,4,1,2,1
10,3,3,4,1,2,0,3,4,1,1
13,10,5,3,1,0,2,4,0,0,1
3,4,3,1,1,1,0,1,0,2,1
11,7,3,3,2,2,5,3,5,3,1
16,12,9,1,4,5,3,3,3,3,1
20,14,13,13,3,6,1,4,2,3,1
24,12,7,11,3,4,2,4,0,2,1
44,28,17,20,10,15,6,10,2,8,1
7,4,1,0,4,8,3,1,1,1,1
34,16,15,2,5,6,2,10,1,3,1
32,14,14,15,9,10,9,4,1,5,1
10,4,6,2,4,4,1,4,0,2,1
24,6,10,4,9,6,3,6,2,1,1
8,5,4,4,2,1,1,5,4,1,1
2,4,2,0,2,3,0,1,0,2,1
3,2,5,2,5,3,1,2,5,5,1
6,2,2,3,1,2,1,3,0,1,1
8,2,2,1,1,4,1,1,0,3,1
16,5,10,4,3,2,2,5,4,1,1
16,10,6,9,4,6,7,3,0,2,1
2,1,5,2,0,0,2,1,0,1,1
2,3,3,2,3,0,4,1,1,1,1
5,2,6,3,3,0,4,3,8,7,1
5,2,3,2,2,2,8,3,7,1,1
26,19,5,10,9,1,7,6,2,6,1
1,3,2,3,0,2,3,1,3,2,1
1,6,1,3,3,3,3,0,4,6,1
5,5,9,4,3,4,8,1,3,3,1
6,4,2,1,4,0,5,1,8,4,1
5,6,2,4,3,3,2,4,7,0,1
6,7,2,2,1,3,7,0,4,2,1
15,9,3,3,6,4,1,3,1,2,1
18,12,5,5,6,1,4,1,1,2,1
11,6,4,1,8,4,5,1,11,4,1
9,3,4,4,3,6,2,4,4,6,1
5,7,1,1,2,2,9,3,11,4,1
11,5,3,2,7,0,2,1,7,2,1
13,7,7,5,2,4,4,3,6,1,1
38,17,20,21,11,14,10,5,3,8,1
33,20,20,17,16,17,4,6,4,11,1
5,3,1,3,3,1,5,0,9,4,1
10,3,1,2,0,3,2,0,0,4,1
42,18,13,14,12,12,6,14,9,5,1
4,6,4,6,4,3,8,2,3,3,1
23,8,15,9,11,14,6,8,0,2,1
13,9,6,9,8,6,11,7,2,12,1
29,24,12,12,20,13,3,6,3,9,1
22,10,5,5,11,0,9,2,5,4,1
3,1,1,0,0,1,0,2,0,4,1
18,7,5,4,4,1,3,4,16,0,1
5,1,5,5,2,5,2,1,2,3,1
12,12,13,9,3,9,1,4,0,3,1
29,18,11,14,6,6,3,8,0,2,1
18,11,5,15,6,5,1,3,1,6,1
14,4,11,8,7,2,3,8,2,2,1
19,11,12,12,4,7,7,3,2,3,1
5,4,4,3,3,3,3,2,0,2,1
7,4,0,3,3,1,2,2,5,2,1
4,3,6,2,3,0,2,1,6,0,1
8,9,2,0,8,5,0,1,9,2,1
18,10,6,8,10,2,9,5,4,0,1
10,8,6,3,4,2,6,4,4,0,1
22,7,9,3,4,2,3,10,3,2,1
17,7,5,2,6,3,6,7,2,1,1
4,3,4,1,4,2,5,3,9,2,1
14,4,7,1,4,3,4,6,2,4,1
6,4,6,4,10,5,2,1,4,5,1
6,4,3,6,6,2,3,2,8,5,1
11,6,4,4,5,2,1,2,3,0,1
12,1,4,1,6,1,6,1,3,0,1
3,2,4,1,3,2,6,1,1,1,1
14,6,0,2,2,0,2,1,4,1,1
4,3,3,1,5,3,5,0,9,3,1
4,5,3,3,4,0,1,2,10,4,1
12,7,10,6,7,6,5,1,6,4,1
3,1,6,1,2,0,3,0,3,2,1
6,5,2,3,3,2,3,2,5,1,1
9,4,7,3,5,1,6,1,4,2,1
18,12,15,19,4,4,1,3,1,4,1
10,5,0,5,3,1,3,4,1,3,1
22,4,9,8,6,0,13,3,10,2,1
0,6,1,1,2,2,2,1,4,2,1
8,7,10,1,4,3,4,3,3,4,1
16,8,6,12,7,4,3,12,8,10,1
12,3,11,4,5,3,1,3,0,0,1
9,2,3,3,2,5,2,1,2,2,1
5,2,5,2,2,3,1,2,1,0,1
5,1,2,1,0,3,1,0,0,1,1
7,0,1,1,0,3,1,1,2,1,1
2,1,2,2,0,1,0,0,0,1,1
11,6,5,5,0,2,0,2,0,1,1
5,3,6,3,2,1,3,1,3,4,1
